"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL198W",380.701614403198,1.57490203110128,0.431306441313248,3.65146884035859,0.000260744738924879,0.0150332882950898
"YBR115C",283.137175434185,-1.64898953847403,0.453922223265424,-3.63275789101388,0.000280408095409501,0.0152129993956668
"YDR500C",506.48072751802,1.53285709935371,0.421542972479879,3.63630092167384,0.000276581211814048,0.0152129993956668
"YGR034W",568.043442462135,1.69606493823575,0.466384031913235,3.63662737610896,0.000276231076878272,0.0152129993956668
"YKR076W",61.8888412257916,-1.76635813460945,0.486845773559347,-3.62816774950216,0.000285439782475397,0.0152129993956668
"YKR094C",554.238302526371,1.75504277394099,0.483560026597645,3.62942070768249,0.000284057966932529,0.0152129993956668
"YPR030W",155.677778193945,-1.61248588227107,0.446876137583539,-3.60835083070335,0.000308149608245391,0.0162448434781538
"YOR341W",249.778763781883,1.51745455637438,0.42094293506912,3.60489375151339,0.000312280659015313,0.016285604260476
"YDL148C",58.3819598909454,1.83843698052213,0.513602990678784,3.57949041163571,0.00034426487899627,0.0163694574816854
"YEL054C",567.975414996654,1.75930675233854,0.49130837577611,3.58086049227106,0.000342464483585769,0.0163694574816854
"YGL121C",19.2994562260014,-2.82376501410276,0.788785080768379,-3.57989151031108,0.000343736888762028,0.0163694574816854
"YLR406C",216.776534154926,1.62692091121454,0.452322430714707,3.59681678541537,0.000322135210613181,0.0163694574816854
"YNL308C",118.146832474113,1.56028885331488,0.434701113358952,3.58933714537435,0.000331519860067387,0.0163694574816854
"YNL162W",468.644890378648,1.59667811994529,0.445342017839348,3.58528514262329,0.000336710114342846,0.0163694574816854
"YNL132W",66.1147148035621,1.80290473694663,0.502768973646864,3.58595066809543,0.000335852449689788,0.0163694574816854
"YNL069C",1024.85973232666,1.65577881010668,0.460279768953776,3.59733127934406,0.000321498906244735,0.0163694574816854
"YPL131W",2241.36887808211,1.59775001739728,0.444886561158497,3.59136498355152,0.00032895057964385,0.0163694574816854
"YLR009W",44.385372401928,1.95424880990339,0.547056323506825,3.57229909596139,0.000353860931547146,0.0166623836699384
"YOR096W",727.079904622102,1.63273332602286,0.457446534142994,3.56923313252708,0.000358027717823261,0.0166964849177194
"YKR057W",309.936476486517,1.76155584332907,0.494409544067278,3.56294870207717,0.000366712360095774,0.0167421764055612
"YLL045C",1379.62614903492,1.72941309232802,0.485645865400687,3.56105799624414,0.000369363479462897,0.0167421764055612
"YLR409C",61.0841823695138,1.87732305069712,0.526684713602919,3.56441529858504,0.000364668184266664,0.0167421764055612
"YPL079W",500.841863802086,1.72763739877148,0.48559897810945,3.55774512849589,0.000374051984260063,0.0167977048487158
"YDL085W",28.3738042350631,-2.24393665021223,0.632452151585728,-3.54799433377857,0.00038817657212136,0.0169736788981966
"YDL082W",415.398861947767,1.60306703798909,0.45184877586668,3.54779546522902,0.00038846976447419,0.0169736788981966
"YPL183C",40.7827645780788,1.94338354111666,0.547483386680104,3.54966669016422,0.000385719181860271,0.0169736788981966
"YGR087C",20.9038941402459,-3.60027947284887,1.01566480365077,-3.54475163450362,0.000392983193492363,0.0170175757896246
"YLR327C",453.828611619827,-1.4460611537944,0.408500027803353,-3.53992914411872,0.000400234472526468,0.0171782052367555
"YBL015W",375.119205354618,-1.39680254343708,0.394878041950234,-3.53730112856748,0.00040423848797011,0.017197865496974
"YLR029C",1854.57488511484,1.47884775561754,0.418402731435206,3.53450789038778,0.000408535237769808,0.0172295295929006
"YLR264C-A",107.307563861315,1.58733464391876,0.449638182338747,3.53024877838978,0.000415169085188111,0.0173583626134684
"YGL078C",92.4015648842398,1.71566142759342,0.486613737954599,3.52571514894939,0.000422340967749432,0.0173589296066504
"YNL175C",69.4817276318195,1.75464211897348,0.497614374307959,3.52610818651228,0.000421714659511506,0.0173589296066504
"YMR049C",92.9317353553369,1.72021724118844,0.490656258873222,3.50595189621929,0.000454977439298405,0.0185431981562795
"YBR079C",308.341180336001,1.48430534707783,0.424142960083447,3.49954021819861,0.000466061291328188,0.0188089304914735
"YIL127C",27.8511392312442,2.24819696490811,0.642760725831243,3.497719873909,0.000469253729787277,0.0188089304914735
"YPL012W",56.706931535519,1.82947000020404,0.523503141192097,3.49466862039844,0.000474650678099588,0.018869309744123
"YGL099W",52.1813979668667,1.84796976490765,0.530553539976996,3.48309760592263,0.000495647619555396,0.0195438289011681
"YDR064W",945.672235317218,1.58436643125528,0.458065906403146,3.45881762669512,0.000542552136933235,0.0199553090574405
"YDR382W",1013.72458424503,1.54611843059217,0.445324379746171,3.47189262683852,0.000516802995489658,0.0199553090574405
"YFR031C-A",1335.81381399825,1.66391965546546,0.480489338715438,3.46296893894432,0.00053425006478251,0.0199553090574405
"YLR197W",293.120527898555,1.69882011096889,0.490294617730355,3.46489651229087,0.000530435553532861,0.0199553090574405
"YLR222C",34.9072608392159,2.18799992414427,0.63263704772655,3.45853903435956,0.000543113566099412,0.0199553090574405
"YLR249W",2998.62670736427,1.51310450513,0.4365574432589,3.46599176922669,0.000528279451643205,0.0199553090574405
"YML131W",91.0585262535823,-1.55934179929353,0.449540780165058,-3.46874381167596,0.000522897822987478,0.0199553090574405
"YML063W",1596.04492663825,1.55335213620689,0.447119750299723,3.47412999574635,0.000512512668162135,0.0199553090574405
"YMR095C",27.2819875032049,-3.14562530172905,0.909097780269333,-3.46016167897486,0.000539851143718092,0.0199553090574405
"YBR031W",1910.36244053331,1.45029274237493,0.41970545323965,3.45550130735809,0.000549270527919769,0.0200297899279014
"YLR048W",756.526223857099,1.59472486026557,0.462068823849944,3.45127127811474,0.000557952446466754,0.0201945475027146
"YDL153C",101.933723014937,1.61413070857733,0.468471940750098,3.44552270514397,0.000569956083164089,0.0204125549239828
"YMR196W",571.223268094914,-1.40228475586903,0.407123810600706,-3.44436930328387,0.000572393292713743,0.0204125549239828
"YBR147W",31.2233644066115,-2.05831053674613,0.598283853158668,-3.44035782660552,0.000580945566324616,0.0205663211436087
"YEL026W",66.9248016336184,1.86600059465326,0.543600737240822,3.43266752014467,0.000597674529191134,0.0210052280186739
"YNL096C",351.546169166472,1.53194188915743,0.447053965485517,3.42674935786262,0.000610852619431795,0.0213139223326921
"YJL153C",75.0170240325969,-2.03392808002803,0.594210281886618,-3.42290960292762,0.000619546771106518,0.0214628702847615
"YBR084W",229.790725333329,1.5303945442214,0.448305668265818,3.41373007872381,0.000640800270241897,0.0217772616843312
"YJR073C",261.316258787315,-1.33879409190895,0.392459812285221,-3.41128964036699,0.000646563698462603,0.0217772616843312
"YLR180W",149.900575651545,-1.60738822166669,0.470671827610429,-3.41509333547177,0.000637601592228605,0.0217772616843312
"YOR091W",62.7285547447894,1.66887814315713,0.489494011094584,3.40939440591983,0.00065107277200578,0.0217772616843312
"YPR010C",204.873785917994,1.6010110806523,0.469428738707656,3.41055190838956,0.000648315420294903,0.0217772616843312
"YKL218C",103.704266494362,-2.1092812019242,0.619829769527451,-3.40300080057834,0.000666500852438673,0.0219899941110719
"YMR308C",181.987510255985,1.37572334694153,0.404242175606377,3.4032157700465,0.000665976645275672,0.0219899941110719
"YDR453C",53.5558465133947,-1.76436234887126,0.518827245010067,-3.40067405064092,0.000672199277281339,0.0220281519919898
"YPL143W",619.214345333841,1.58802821384847,0.467316465593596,3.39818587781049,0.000678343137511644,0.0220802967579293
"YCR047C",37.0015465398503,1.96119399581007,0.577608053876344,3.39537162379998,0.000685355058397244,0.0221598135548442
"YLR196W",92.1676165193175,1.63553016602174,0.482661506222206,3.38856557843828,0.000702592260279299,0.022566705048706
"YDL083C",658.723951198459,1.58566398265048,0.46863472070896,3.38358195110181,0.000715468516251884,0.0226798843387035
"YPL090C",1249.03457033591,1.66600161962814,0.49221181647207,3.38472495757864,0.000712496087900759,0.0226798843387035
"YGL125W",105.879867545844,-1.4773202449656,0.437094362761755,-3.37986570138136,0.000725212567137964,0.022839486692332
"YKL143W",68.725678211928,1.63322402876013,0.484720035189747,3.36941721033007,0.000753273161957332,0.0235701602289875
"YDR398W",38.8460947619273,1.94333466320602,0.57745766227933,3.36532838708092,0.000764526092196295,0.0237689201740515
"YMR242C",687.954090792187,1.59752762294256,0.47549466811374,3.35971721676681,0.000780222893617836,0.0241024269684491
"YIL018W",1720.65974134591,1.60777805932475,0.479125837095017,3.35564883971369,0.00079179037132111,0.0241520962321219
"YMR142C",865.515641948473,1.55082299670458,0.461921071230402,3.3573333049599,0.000786981813870387,0.0241520962321219
"YHR089C",164.707509112644,1.90318957528884,0.567603743216782,3.35302506023461,0.000799334687890416,0.0242298327266782
"YHR203C",1133.33622756088,1.59306409826764,0.476137445041649,3.34580721356264,0.000820434170986536,0.0247149424179174
"YFL055W",31.6876902153038,-2.43307304989634,0.728360940288249,-3.34047711143523,0.000836345742494935,0.0248851340558309
"YMR169C",98.1641939800096,-1.54273398743832,0.461740493583463,-3.34112777388336,0.000834388142283757,0.0248851340558309
"YHR141C",542.496395704963,1.48103529588187,0.445590608643104,3.32375787809323,0.000888132674936264,0.0262648992282981
"YJL050W",84.238975932308,1.5706631172155,0.473900101630699,3.31433378429509,0.000918617772391241,0.0270017951278638
"YPL093W",69.1330685816487,1.6716284983165,0.504638477263402,3.31252683580838,0.000924572554292641,0.0270131137850561
"YPR102C",672.565045882823,1.56061349451242,0.472182123705483,3.30510922833206,0.000949393922685555,0.0275722187127242
"YOR272W",40.3845464233033,1.85273638953931,0.561058129899364,3.30221823872623,0.000959234055559606,0.0276921736277624
"YLR175W",263.705737551373,1.5848851066353,0.480626183431117,3.29754216743051,0.000975350280895862,0.0279908216706801
"YER069W",148.279210122132,-1.38842531746492,0.422033440450586,-3.28984669078015,0.00100241982979777,0.028570793377993
"YOL120C",1112.1051092936,1.52125158452573,0.462601873641737,3.288468273053,0.00100734137477048,0.028570793377993
"YDL169C",27.125978712773,-2.06388450395305,0.628929723930163,-3.28158206779589,0.00103226480314043,0.0291074668327389
"YJL088W",67.7813893075427,-1.58928595370547,0.486287776910188,-3.26820049601821,0.00108233663186301,0.0303429633788185
"YGR254W",1997.30119945694,-1.183981508337,0.362796550469552,-3.2634861241228,0.00110050573110794,0.0304997302621343
"YPR132W",737.981693458955,1.36074327821019,0.416764917743023,3.26501396897621,0.00109458678250594,0.0304997302621343
"YDR165W",51.4976700131943,1.65198412753174,0.50646449489265,3.26179652115968,0.00110708579491057,0.0305077619620242
"YBR142W",76.8494080309727,1.59323061756374,0.488919644905038,3.25867580525056,0.00111933499146343,0.030671043551399
"YDL229W",1900.28097894433,1.62055216239973,0.498553419843572,3.25050856718263,0.00115198797500429,0.0308681860705569
"YKL180W",779.322397569062,1.49117736448178,0.458638776107537,3.2513111454234,0.00114874065252653,0.0308681860705569
"YLL034C",31.3858520250425,2.0434035673156,0.628332514851124,3.25210540441275,0.00114553532224332,0.0308681860705569
"YLR174W",54.1600052707958,-2.30089332915707,0.707307140795309,-3.25303280067257,0.00114180316264761,0.0308681860705569
"YHR104W",229.477441176314,-1.30796255888778,0.403522501121041,-3.24136214276547,0.00118959955684154,0.0317008673114365
"YBR169C",336.597473044215,-1.24933358248487,0.386725691626564,-3.23054198243254,0.00123555757561214,0.032640936331666
"YCL054W",63.0946742103852,1.65607241751885,0.512731841390662,3.22989969381879,0.00123833655361372,0.032640936331666
"YDR343C",4571.59198805697,-1.19471923224382,0.371140674038261,-3.21904688926835,0.00128617451857961,0.0333898260128473
"YDR450W",653.768140970273,1.60410022387269,0.498419204172172,3.21837563730505,0.00128918862164609,0.0333898260128473
"YJL033W",54.7322262271097,1.69980965907682,0.528593560523755,3.21572146545366,0.00130117053946972,0.0333898260128473
"YLR167W",2409.88586978946,1.48361362488963,0.46131228183696,3.21607224282396,0.00129958112743778,0.0333898260128473
"YOL121C",358.465435572794,1.61241977941343,0.501302217078761,3.21646249404099,0.00129781496073748,0.0333898260128473
"YIL052C",446.18777119028,1.4958381613674,0.466066249487042,3.20949685374931,0.0013296750184276,0.0339417044177572
"YBR048W",615.729263055652,1.49878965491141,0.467961076296852,3.20280837622626,0.00136094505061719,0.0343831702913828
"YGR214W",684.576258467725,1.57527003953014,0.492076753593785,3.20126896470006,0.00136823749819317,0.0343831702913828
"YKL151C",236.119399635298,-1.2853240338167,0.401413216858432,-3.2019972931534,0.00136478280509723,0.0343831702913828
"YBR084C-A",984.590174373198,1.47753232015713,0.462447279805254,3.19502867608898,0.00139816947579147,0.0347749843978903
"YLR325C",375.770379156478,1.51613193580757,0.474409371350416,3.19583049443535,0.00139428997742481,0.0347749843978903
"YML093W",77.7830188847821,1.48189581942365,0.464953549285742,3.18719111124139,0.00143661815842284,0.0355489697364834
"YBR181C",1148.53378128242,1.5525836882997,0.488145195552605,3.18057762822411,0.00146981753787746,0.0360684178120192
"YHR088W",40.1481524582027,1.7646511797653,0.554912598040031,3.18005247312478,0.00147248386119171,0.0360684178120192
"YGL030W",812.942020204192,1.5259559938432,0.480109976096196,3.17834677431793,0.0014811748332358,0.0360989846291137
"YBR191W",769.974962904003,1.51391504563427,0.47922889590105,3.15906461105147,0.00158276396695858,0.0383820261987456
"YNL134C",105.043245465935,-1.38402631396305,0.438584731738489,-3.15566460436723,0.00160132881701574,0.0384477463491404
"YOR273C",307.872949973433,1.24801815392121,0.395386176691904,3.1564536837455,0.00159700248037988,0.0384477463491404
"YDR342C",5179.49108540132,-1.15799639496537,0.367789675118517,-3.14852882858177,0.00164094536875469,0.0390126717571581
"YPR043W",773.857276734486,1.37734104357394,0.437283894273284,3.14976394422879,0.00163402431787978,0.0390126717571581
"YDL208W",84.7304456782469,1.54721457018938,0.491985873192399,3.14483535909234,0.00166180323476022,0.0391568185952169
"YMR229C",141.896258835216,1.55128018520787,0.49331599791463,3.1445973610536,0.00166315559394117,0.0391568185952169
"YHR021C",377.868659707443,1.45734633011208,0.464469247498243,3.13765946391874,0.00170302608905412,0.0395286294714771
"YNL178W",1616.0852050456,1.49594644673113,0.47697546847596,3.13631736976118,0.00171083954699787,0.0395286294714771
"YOR185C",89.5584170915128,-1.44146219378241,0.459299022155119,-3.13839595612198,0.00169875230964833,0.0395286294714771
"YPL220W",769.664907198474,1.49689205749148,0.477295472181567,3.13619580476986,0.00171154890495056,0.0395286294714771
"YEL060C",731.890972548716,-1.1923173918663,0.380957013765447,-3.12979509179061,0.00174928277582175,0.0399227807341471
"YER102W",1059.49740867474,1.5179542237588,0.485023290415576,3.12965223269627,0.00175013362733048,0.0399227807341471
"YJR123W",2147.53629500241,1.47388552570603,0.471612893285976,3.12520193295965,0.00177683039624431,0.0399227807341471
"YLR303W",257.805892439643,-4.43165874544933,1.41812731924667,-3.12500766701504,0.00177800425537645,0.0399227807341471
"YLR441C",1142.09069908063,1.43278388688164,0.458186037825603,3.12707889066447,0.00176552544830218,0.0399227807341471
"YPL226W",123.945107382511,1.34303386500404,0.429357698843488,3.12800694763741,0.00175996021041359,0.0399227807341471
"YHL001W",255.433287431754,1.59311419085553,0.511184496967827,3.11651507490024,0.00183002323730811,0.0407138197291026
"YLR388W",160.440628148071,1.44647629941871,0.464058574098349,3.11701233455102,0.00182693928168114,0.0407138197291026
"YDR471W",331.880396111485,1.4907759340813,0.478871302695525,3.11310351171567,0.00185131074224032,0.0409195438052379
"YPL186C",115.855093513236,-1.34192543137754,0.431163708751536,-3.11233390969565,0.00185614425508296,0.0409195438052379
"YDR418W",909.165556749403,1.5068039792187,0.484660576090507,3.10898813221671,0.00187729258791007,0.0411985024948591
"YJR041C",33.5291198228647,1.80098294468128,0.580180631192912,3.1041762648613,0.00190809617128224,0.0414400612134283
"YJR094W-A",337.122616319711,1.53870216677267,0.496172109717029,3.10114602703123,0.00192773198720634,0.0414400612134283
"YJR145C",1656.32240209374,1.51106765836212,0.487992845323264,3.09649551800527,0.00195822822332223,0.0414400612134283
"YLR258W",502.750584295207,-1.17969226342908,0.380117658364439,-3.10349239891941,0.00191251147640748,0.0414400612134283
"YLR340W",2494.39575080345,1.48075119775323,0.478030463611596,3.09760843810229,0.00195089007769448,0.0414400612134283
"YML073C",649.731108483115,1.43427596327041,0.463117060137444,3.09700524278838,0.00195486416452539,0.0414400612134283
"YML042W",59.2273951617369,-1.54782597519395,0.500033930989796,-3.0954418875737,0.00196519877919351,0.0414400612134283
"YPL211W",27.6961175462596,2.05465459246309,0.662280877828909,3.10239153997419,0.0019196387634533,0.0414400612134283
"YPR167C",25.4739586987976,-2.24890646431519,0.725306519941528,-3.10062904783552,0.00193110046051203,0.0414400612134283
"YNL302C",802.858649234226,1.5389376782961,0.497453969604971,3.09362829995743,0.00197725039051128,0.0415136986752369
"YDR324C",41.7509807484584,1.78285242667247,0.577552998630687,3.0869070559748,0.00202250823946055,0.04228088345424
"YGR200C",81.0304143141339,1.43742214538712,0.467236633314734,3.07643288838369,0.00209493456555264,0.0434206523202149
"YPL126W",69.1113511721667,1.49755811886692,0.486614430729645,3.0775045380825,0.00208741660170638,0.0434206523202149
"YLR129W",51.5045939189328,1.54035756413795,0.500929439726583,3.07499907567562,0.00210503206057566,0.043444278696987
"YDL198C",110.050075559354,-2.07290705139163,0.675761549609047,-3.06751257539125,0.00215848378411073,0.0443586709870214
"YBL027W",1167.58647647575,1.45348285813812,0.474266709874789,3.06469509218105,0.00217892011725278,0.0445897154796454
"YKL172W",87.5565905908408,1.5453021751273,0.504519177531729,3.06292058646297,0.00219188219118867,0.0446665068372481
"YIL133C",593.297308266933,1.5338677545116,0.501115021773876,3.06090954743669,0.00220665746235352,0.0447794505958768
